## dioPeriod = 1.0
## burstTimestamp = 20
## minRssi = -97
## numMotes = 18
## otfHousekeepingPeriod = 5.0
## sixtopNoRemoveWorstCell = 0
## simDataDir = simData
## numChans = 16
## slotframeLength = 101
## squareSide = 2.0
## cpuID = None
## sixtopPdrThreshold = 1.5
## pkPeriod = 1.0
## sixtopHousekeepingPeriod = 1.0
## sixtopNoHousekeeping = 0
## pkPeriodVar = 0.05
## numCyclesPerRun = 100
## startTime = 1511942738.79
## slotDuration = 0.9
## numRuns = 2
## combinationKeys = ['numMotes', 'otfThreshold']
## gui = True
## numPacketsBurst = 5
## otfThreshold = 1
## noInterference = 0
## slotLength = 3000


# appGenerated appReachesDagroot appRelayed aveHops aveLatency aveQueueDelay awake chargeConsumed collidedTxs cycle droppedAppFailedEnqueue droppedMacRetries droppedNoRoute droppedNoTxCells droppedQueueFull effectiveCollidedTxs idle numRxCells numTx numTxCells otfAdd otfRemove probableCollisions rplChurnParentSet rplChurnPrefParent rplChurnRank rplRxDIO rplTxDIO runNum scheduleCollisions sleep topRxRelocatedCells topTxRelocatedBundles topTxRelocatedCells txQueueFill
          5360               997          0   1.000    181.517      3488.215  8872     576913.920           0    65                    3270               885              0                0             3270                    0 3666         16  5851         16   1975         1                  0                17                  1          125    53297     6677      0                  0 54938                   0                     0                   0         208
          5440              1011          0   1.000    183.884      3503.793  9064     585653.700           0    66                    3317               900              0                0             3317                    0 3756         16  5940         16   2005         1                  0                17                  1          125    54012     6767      0                  0 56419                   0                     0                   0         212
          5520              1027          0   1.000    185.153      3530.133  9305     594384.060           0    67                    3370               912              0                0             3370                    0 3863         16  6028         16   2034         1                  0                17                  1          126    54870     6875      0                  0 58002                   0                     0                   0         211
          5600              1041          0   1.000    184.805      3535.122  9689     603074.640           0    68                    3423               925              0                0             3423                    0 4037         16  6117         16   2064         1                  0                17                  1          126    55728     6983      0                  0 60662                   0                     0                   0         211
          5680              1055          0   1.000    185.786      3540.788  9933     611814.420           0    69                    3478               937              0                0             3478                    0 4152         16  6206         16   2094         1                  0                17                  1          126    56443     7073      0                  0 62382                   0                     0                   0         210
          5760              1072          0   1.000    186.276      3545.669 10086     620661.900           0    70                    3530               949              0                0             3530                    0 4219         16  6295         16   2124         1                  0                17                  1          127    57301     7181      0                  0 63374                   0                     0                   0         209
          5840              1087          0   1.000    187.951      3549.958 10177     629364.560           0    71                    3581               961              0                0             3581                    0 4251         16  6383         16   2154         1                  0                17                  1          127    58016     7271      0                  0 63862                   0                     0                   0         211
          5920              1104          0   1.000    188.119      3553.071 10194     638301.460           0    72                    3633               973              0                0             3633                    0 4257         16  6473         16   2184         1                  0                17                  1          127    58874     7379      0                  0 63941                   0                     0                   0         210
          6000              1116          0   1.000    187.032      3553.640 10258     646757.800           0    73                    3689               992              0                0             3689                    0 4281         16  6560         16   2213         1                  0                17                  1          127    59732     7487      0                  0 64304                   0                     0                   0         203
          6080              1131          0   1.000    186.974      3555.507 10363     655679.520           0    74                    3735              1011              0                0             3735                    0 4317         16  6651         16   2243         1                  0                17                  1          128    60447     7577      0                  0 64895                   0                     0                   0         203
          6160              1146          0   1.000    187.623      3556.293 10457     664292.760           0    75                    3781              1023              0                0             3781                    0 4353         16  6738         16   2273         1                  0                17                  1          128    61305     7685      0                  0 65423                   0                     0                   0         210
          6240              1158          0   1.000    187.344      3557.313 10571     672813.920           0    76                    3834              1036              0                0             3834                    0 4389         16  6826         16   2303         1                  0                17                  1          130    62163     7793      0                  0 65984                   0                     0                   0         212
          6320              1175          0   1.000    187.387      3557.698 10675     681840.240           0    77                    3887              1048              0                0             3887                    0 4431         16  6917         16   2333         1                  0                17                  1          131    62878     7883      0                  0 66607                   0                     0                   0         210
          6400              1188          0   1.000    186.769      3557.143 10781     690348.880           0    78                    3941              1061              0                0             3941                    0 4462         16  7004         16   2363         1                  0                17                  1          131    63736     7991      0                  0 67161                   0                     0                   0         210
          6480              1203          0   1.000    187.471      3563.458 10884     699270.600           0    79                    3995              1074              0                0             3995                    0 4495         16  7095         16   2393         1                  0                17                  1          131    64451     8081      0                  0 67739                   0                     0                   0         208
          6560              1219          0   1.000    188.763      3571.134 11000     707936.140           0    80                    4045              1086              0                0             4045                    0 4541         16  7182         16   2422         1                  0                17                  1          131    65309     8189      0                  0 68420                   0                     0                   0         210
          6653              1235          0   1.000    189.469      3576.409 11120     716731.320           0    81                    4103              1103              0                0             4103                    0 4586         16  7271         16   2452         1                  0                17                  1          132    66167     8297      0                  0 69063                   0                     0                   0         212
          6736              1250          0   1.000    189.995      3579.820 11227     725588.220           0    82                    4152              1121              0                0             4152                    0 4626         16  7361         16   2483         1                  0                17                  1          133    66882     8387      0                  0 69684                   0                     0                   0         213
          6816              1266          0   1.000    189.596      3579.618 11245     734318.580           0    83                    4204              1134              0                0             4204                    0 4628         16  7449         16   2512         1                  0                17                  1          133    67740     8495      0                  0 69757                   0                     0                   0         212
          6896              1280          0   1.000    189.256      3580.156 11265     743188.000           0    84                    4258              1146              0                0             4258                    0 4636         16  7540         16   2543         1                  0                17                  1          133    68455     8585      0                  0 69880                   0                     0                   0         212
          6976              1292          0   1.000    188.238      3580.342 11386     751644.340           0    85                    4313              1159              0                0             4313                    0 4678         16  7627         16   2573         1                  0                17                  1          134    69313     8693      0                  0 70571                   0                     0                   0         212
          7056              1308          0   1.000    188.414      3587.627 11492     760439.520           0    86                    4365              1172              0                0             4365                    0 4724         16  7716         16   2603         1                  0                17                  1          135    70171     8801      0                  0 71151                   0                     0                   0         211
          7136              1322          0   1.000    188.593      3589.777 11588     769244.120           0    87                    4417              1186              0                0             4417                    0 4753         16  7806         16   2633         1                  0                17                  1          136    70886     8891      0                  0 71689                   0                     0                   0         211
          7216              1338          0   1.000    187.709      3590.137 11691     778039.300           0    88                    4469              1199              0                0             4469                    0 4791         16  7895         16   2662         1                  0                17                  1          136    71744     8999      0                  0 72321                   0                     0                   0         210
          7296              1352          0   1.000    189.471      3598.198 11806     786689.660           0    89                    4522              1214              0                0             4522                    0 4839         16  7983         16   2692         1                  0                17                  1          136    72459     9089      0                  0 72960                   0                     0                   0         208
          7376              1369          0   1.000    189.689      3603.286 11910     795626.560           0    90                    4571              1231              0                0             4571                    0 4880         16  8073         16   2722         1                  0                17                  1          136    73317     9197      0                  0 73594                   0                     0                   0         205
          7456              1384          0   1.000    189.872      3607.742 12017     804239.800           0    91                    4618              1244              0                0             4618                    0 4916         16  8160         16   2752         1                  0                17                  1          136    74175     9305      0                  0 74204                   0                     0                   0         210
          7536              1398          0   1.000    190.239      3609.676 12121     812979.580           0    92                    4670              1257              0                0             4670                    0 4955         16  8249         16   2781         1                  0                17                  1          137    74890     9395      0                  0 74784                   0                     0                   0         211
          7616              1416          0   1.000    191.102      3617.480 12215     821879.360           0    93                    4722              1269              0                0             4722                    0 4995         16  8338         16   2811         1                  0                17                  1          137    75748     9503      0                  0 75361                   0                     0                   0         209
          7696              1428          0   1.000    191.758      3623.603 12260     830335.700           0    94                    4776              1282              0                0             4776                    0 5015         16  8425         16   2841         1                  0                17                  1          137    76606     9611      0                  0 75618                   0                     0                   0         210
          7776              1445          0   1.000    191.987      3626.641 12300     839362.020           0    95                    4827              1294              0                0             4827                    0 5032         16  8516         16   2871         1                  0                17                  1          137    77321     9701      0                  0 75846                   0                     0                   0         210
          7856              1462          0   1.000    192.606      3628.524 12416     848079.860           0    96                    4879              1306              0                0             4879                    0 5063         16  8603         16   2900         1                  0                17                  1          137    78179     9809      0                  0 76444                   0                     0                   0         209
          7936              1478          0   1.000    193.340      3628.268 12521     857053.880           0    97                    4931              1321              0                0             4931                    0 5104         16  8694         16   2930         1                  0                17                  1          137    78894     9899      0                  0 77051                   0                     0                   0         206
          8016              1493          0   1.000    193.363      3629.733 12625     865667.120           0    98                    4984              1340              0                0             4984                    0 5141         16  8781         16   2960         1                  0                17                  1          137    79752    10007      0                  0 77617                   0                     0                   0         199
#position of mote at runNum=0 mote id: 0 mote x,y coordinate: (1.00000,1.00000) mote-rank: None 
 mote id: 1 mote x,y coordinate: (1.31467,1.21171) mote-rank: 9709 
 mote id: 2 mote x,y coordinate: (1.08635,1.62985) mote-rank: 16274 
 mote id: 3 mote x,y coordinate: (0.14197,0.36692) mote-rank: 27297 
 mote id: 4 mote x,y coordinate: (1.57416,0.49639) mote-rank: 19551 
 mote id: 5 mote x,y coordinate: (1.43444,0.41842) mote-rank: 18583 
 mote id: 6 mote x,y coordinate: (1.82059,1.41206) mote-rank: 23506 
 mote id: 7 mote x,y coordinate: (0.81985,1.25973) mote-rank: 8091 
 mote id: 8 mote x,y coordinate: (0.71625,1.43048) mote-rank: 13198 
 mote id: 9 mote x,y coordinate: (1.32126,0.38335) mote-rank: 17800 
 mote id: 10 mote x,y coordinate: (1.91331,0.64977) mote-rank: 25040 
 mote id: 11 mote x,y coordinate: (1.20884,0.04228) mote-rank: 25093 
 mote id: 12 mote x,y coordinate: (1.80115,1.43825) mote-rank: 23377 
 mote id: 13 mote x,y coordinate: (0.75772,1.33422) mote-rank: 10567 
 mote id: 14 mote x,y coordinate: (0.05407,0.78162) mote-rank: 24852 
 mote id: 15 mote x,y coordinate: (1.23906,0.74476) mote-rank: 8952 
 mote id: 16 mote x,y coordinate: (1.29440,0.28809) mote-rank: 19721 
 mote id: 17 mote x,y coordinate: (1.10555,1.44885) mote-rank: 11804 


#packets generated by a mote at runNum=0 mote-id:0  packetsgenerated:0 
 mote-id:1  packetsgenerated:501 
 mote-id:2  packetsgenerated:501 
 mote-id:3  packetsgenerated:0 
 mote-id:4  packetsgenerated:501 
 mote-id:5  packetsgenerated:501 
 mote-id:6  packetsgenerated:501 
 mote-id:7  packetsgenerated:501 
 mote-id:8  packetsgenerated:501 
 mote-id:9  packetsgenerated:501 
 mote-id:10  packetsgenerated:501 
 mote-id:11  packetsgenerated:501 
 mote-id:12  packetsgenerated:501 
 mote-id:13  packetsgenerated:501 
 mote-id:14  packetsgenerated:501 
 mote-id:15  packetsgenerated:501 
 mote-id:16  packetsgenerated:501 
 mote-id:17  packetsgenerated:501 


#energy of a mote after a runNum=0 mote-id:0  energyleft:10.0 
 mote-id:1  energyleft:1.4414 
 mote-id:2  energyleft:3.4748 
 mote-id:3  energyleft:1.3124 
 mote-id:4  energyleft:3.4842 
 mote-id:5  energyleft:3.428 
 mote-id:6  energyleft:3.5116 
 mote-id:7  energyleft:-0.3054 
 mote-id:8  energyleft:3.4818 
 mote-id:9  energyleft:3.4722 
 mote-id:10  energyleft:3.4166 
 mote-id:11  energyleft:3.4328 
 mote-id:12  energyleft:3.477 
 mote-id:13  energyleft:3.442 
 mote-id:14  energyleft:0.056 
 mote-id:15  energyleft:3.3736 
 mote-id:16  energyleft:3.4884 
 mote-id:17  energyleft:3.4114 


#time a mote is awake at runNum=0 mote-id:0  awaketime:5271 
 mote-id:1  awaketime:235 
 mote-id:2  awaketime:231 
 mote-id:3  awaketime:1286 
 mote-id:4  awaketime:242 
 mote-id:5  awaketime:232 
 mote-id:6  awaketime:233 
 mote-id:7  awaketime:1412 
 mote-id:8  awaketime:234 
 mote-id:9  awaketime:203 
